ID,Name,Formula,Ion Species,Mass (DB),CAS,CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,NEG Media Blank01 DI2.d.HRdm, NEG Media Blank02 DI2.d.HRdm, NEG Media Blank03 DI2.d.HRdm, NEG QCdilution 0 0625 DI2.d.HRdm, NEG QCdilution 0 125 DI2.d.HRdm, NEG QCdilution 0 25 DI2.d.HRdm, NEG QCdilution 0 5 DI2.d.HRdm, NEG QCdilution 1 0 DI2.d.HRdm, NEG S1P DI2.d.HRdm, NEG S1S DI2.d.HRdm, NEG S2P DI2.d.HRdm, NEG S2S DI2.d.HRdm, NEG S3P DI2.d.HRdm, NEG S3S DI2.d.HRdm, NEG W1P DI2.d.HRdm, NEG W1S DI2.d.HRdm, NEG W2P DI2.d.HRdm, NEG W2S DI2.d.HRdm, NEG W3P DI2.d.HRdm, NEG W3S DI2.d.HRdm
20,"2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose",C10 H18 N2 O5,(M-H)-,246.1216,,,2.625,0.009,27.651,0.03,158.06,0.17,245.1138,0.0002,0.0626371,0.49,-1,4,19,100,x,FALSE,1.28E+07,1.32E+07,1.31E+07,0.001,2589442,4497670,6995490,1.08E+07,3907987,1.16E+07,5743912,1.23E+07,4028601,1.29E+07,2013270,1.38E+07,3479420,1.14E+07,3018264,1.42E+07
21,8-Hydroxyalanylclavam,C8 H12 N2 O5,(M-H)-,216.0746,,,1.907,0.002,25.778,0.024,148.29,0.14,215.0671,0.0002,0.0624313,0.35,-1,3,19,100,x,FALSE,9604174,9588869,9670434,0.001,1931084,3720968,6344737,1.06E+07,6827310,9653548,8409382,1.26E+07,7733547,9926438,3826179,1.36E+07,4845542,1.08E+07,6767705,1.20E+07
22,γ-Glutamyl ornithine,C10 H19 N3 O5,(M-H)-,261.1325,6713-95-7,,2.139,0.002,28.172,0.026,160.6,0.15,260.1247,0.0003,0.0614034,0.3,-1,4,20,100,x,FALSE,9758424,9804437,9903736,913439.6,1956224,3816545,5978587,9268324,7280334,9705722,8660998,1.14E+07,7104119,1.05E+07,3875873,1.21E+07,5221353,9774532,6402919,1.15E+07
23,,,,,,,2.946,0.021,21.509,0.021,126.17,0.13,154.9472,0.0002,0.0604052,0.51,-1,4,19,100,,FALSE,7592208,7641043,7946395,0.001,8645798,1.05E+07,1.14E+07,9041091,4868567,6012825,5985455,4538077,7125151,7224043,5432505,5928390,7236656,5566971,7875199,7077162
24,Sarmentosin epoxide,C11 H17 N O8,(M-H)-,291.0954,81907-02-0,,2.132,0.003,28.02,0.032,158.92,0.18,290.0876,0.0003,0.0580987,0.39,-1,3,20,100,,FALSE,8557767,1.12E+07,9898715,662133,1304277,3055480,5894770,8488861,6123752,7842076,9321475,1.41E+07,5269999,8807172,3822733,1.08E+07,4856962,1.11E+07,6250769,9773242
25,(S)-ATPA,C10 H16 N2 O4,(M-H)-,228.111,,,1.312,0.006,27.048,0.029,155.2,0.17,227.1035,0.0001,0.0564121,0.47,-1,3,19,100,x,FALSE,6211118,6405009,7443424,0.001,2282046,4141731,6470510,1.36E+07,4094881,8204303,6999757,1.17E+07,7989756,7628718,1401580,1.35E+07,3362787,1.38E+07,6458441,1.23E+07
26,,,,,,,3.147,0.009,29.364,0.044,172.01,0.26,166.0542,0.0001,0.0539003,0.62,-1,3,18,91.3,,FALSE,5273279,6394233,9362882,7906026,9924482,8188908,0.001,5124113,6054068,4062817,6805476,6094684,5782131,4751204,8249024,5092376,0.001,7297125,8096504,5386306
27,Isoleucyl-Valine,C11 H22 N2 O3,(M-H)-,230.163,,,1.124,0.005,27.796,0.031,159.47,0.18,229.1556,0.0002,0.0511337,0.5,-1,3,19,100,x,FALSE,9384006,1.05E+07,9716312,0.001,1436270,3041126,5256748,9911728,3580240,8331154,5549984,1.14E+07,4286702,8877321,938251.7,1.24E+07,2238449,9760866,4429448,1.26E+07
28,,,,,,,0.587,0.005,29.006,0.016,164.28,0.09,302.0656,0.0002,0.0487735,1.71,-1,4,8,100,x,FALSE,3.10E+07,3.19E+07,3.18E+07,899045.5,2809715,4833923,8851881,1.34E+07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
29,,,,,,,0.257,0.001,35.115,0.021,196.7,0.12,431.2188,0.0003,0.0472663,1.27,-1,5,20,100,x,FALSE,1.01E+07,9960792,1.01E+07,1506500,2964075,5556521,4612018,2905274,980835.7,2162428,1192731,865401.9,1952217,1848776,1.63E+07,1575626,2.03E+07,1610123,2255871,1254660
30,Carbenicillin,C17 H18 N2 O6 S,(M-H)-,378.0886,4697-36-3,,2.484,0.002,30.937,0.03,173.85,0.17,377.0845,0.0003,0.0472122,0.36,-1,5,20,100,x,FALSE,8841887,8677064,8967273,1108234,2480152,4177096,6524324,9438421,2821811,7359318,4866374,6787027,4417280,9055390,1386826,8424204,3416392,6579652,4341307,8941646
31,,,,,,,0.8,0.101,44.744,0.024,246.85,0.13,957.9672,0.0011,0.0470088,1.4,-1,4,8,100,,FALSE,0.001,1.72E+07,1.64E+07,0.001,96147.93,9311387,0.001,0.001,1.96E+07,0.001,0.001,0.001,0.001,1.81E+07,0.001,2.17E+07,0.001,2.20E+07,0.001,0.001
32,N-Hydroxy-L-phenylalanine,C9 H11 N O3,(M-H)-,181.0739,,,2.008,0.009,24.846,0.035,144.46,0.21,180.0654,0.0004,0.0464356,0.27,-1,3,20,100,x,FALSE,6872074,7060125,6680999,938485.8,1586983,3206589,4933506,6316371,5842943,6674052,6881390,6767921,6632226,6940248,4820793,7131951,5350249,5941024,5826133,7276299
33,,,,,,,1.69,0.002,24.056,0.029,137.82,0.17,227.9603,0.0002,0.0447803,0.45,-1,4,20,100,x,FALSE,4865878,4886160,4517648,596706.3,1234246,1997007,3038917,4076626,7834418,8233671,8955179,1.08E+07,5556054,5273165,5449915,7137207,5084188,9985876,5314278,5762734
34,,,,,,,0.892,0.052,30.295,0.031,171.21,0.18,322.0543,0.0003,0.0447542,0.31,-1,6,20,100,,FALSE,5003413,4713926,4665232,3148478,5598291,5165568,5770733,5847796,5448088,5891962,4121935,7095779,5800380,1926690,3490079,1.10E+07,3446281,7649045,4869597,5843992
35,Alanylclavam,C8 H12 N2 O4,(M-H)-,200.0797,,,1.661,0.002,25.531,0.021,147.53,0.12,199.0726,0.0002,0.0445252,0.37,-1,3,20,100,x,FALSE,7062270,7174312,7351009,322093.1,1184644,2510479,4697482,7830996,4408373,7062267,5686890,9011582,5338849,6975724,2032443,9926178,3175410,7570415,4587926,1.02E+07
36,Asparaginyl-Isoleucine,C10 H19 N3 O4,(M-H)-,245.1376,,,1.822,0.002,27.975,0.025,159.97,0.14,244.1299,0.0002,0.044282,0.62,-1,3,17,100,x,FALSE,9821713,1.04E+07,9119429,0.001,0.001,2449837,4232416,7579807,2815024,7087864,4756587,1.20E+07,2866394,9067365,0.001,1.09E+07,2041015,8840761,2906476,1.09E+07
37,N-a-Acetylcitrulline,C8 H15 N3 O4,(M-H)-,217.1063,33965-42-3,,2.432,0.003,26.009,0.029,149.59,0.17,216.0985,0.0003,0.0438404,0.36,-1,2,20,100,x,FALSE,8244286,8608573,7724510,634210.9,1806663,3272061,4900714,7374934,4561248,7102247,5636901,7639129,3963231,7918450,1285112,8591775,3363677,6865328,3546935,8432319
38,"Tridecanoic acid, 4,8,12-trimethyl-; 4,8,12-Trimethyltridecanoic acid",C16 H32 O2,(M-H)-,256.2402,,,0.314,0.003,29.645,0.022,169.25,0.13,255.2324,0.0002,0.0422257,0.51,-1,3,18,100,x,FALSE,3628463,2728883,6877235,3317749,2420983,3015206,3790638,6691804,1.03E+07,5581189,6530605,0.001,9366203,5969410,6657758,0.001,4508251,6032240,5885689,5461207
39,Isoleucyl-Threonine,C10 H20 N2 O4,(M-H)-,232.1423,,,1.332,0.031,27.207,0.041,155.98,0.24,231.1349,0.0002,0.0416893,0.57,-1,3,18,100,x,FALSE,5317653,1.00E+07,9701654,0.001,1293596,2575365,4557028,8328372,3401981,8212992,5161692,1.01E+07,3757483,8734885,1112540,0.001,2456500,8298763,3866459,9673086
40,Pyroglutamate,C5 H7 N O3,(M-H)-,129.0426,98-79-3,,1.691,0.002,27.612,0.034,165.08,0.21,128.0353,0.0002,0.0391877,0.25,-1,3,20,100,,FALSE,5027870,5213658,5000103,2207470,3722790,4518292,4515721,5070248,4296516,4745327,5500299,4165504,5379208,4891616,4274176,4639717,4707894,4264692,4861495,4280287
41,Glutaminyl-Threonine,C9 H17 N3 O5,(M-H)-,247.1168,,,2.258,0.002,27.159,0.027,155.19,0.16,246.1092,0.0002,0.0384952,0.45,-1,3,20,100,x,FALSE,7365728,7102293,7385894,269061.4,1125948,2313800,3806508,6807471,3759139,6662929,5004162,7745553,3301167,7167312,874501.3,8640888,1923764,6740894,3105516,8782194
42,,,,,,,0.66,0.004,30.288,0.021,171.17,0.12,322.0542,0.0003,0.0382864,0.34,-1,4,20,100,,FALSE,4038581,4009282,2529174,2818270,4124626,5659435,5378714,4811352,4760901,4844518,3368228,5862649,5272152,3029591,3838477,5233003,4356615,6414829,3714956,4674667
43,,,,,,,2.534,0.001,43.417,0.026,241.04,0.15,657.3227,0.0006,0.0382851,0.28,-1,5,20,100,,FALSE,6124284,5908064,6162031,612378.7,1510283,2646521,4424662,6281525,4016857,5680705,5063492,6191685,4738847,6524412,2477390,7104329,3187051,6164449,4026087,7098497
44,Threoninyl-Serine,C7 H14 N2 O5,(M-H)-,206.0903,,,2.118,0.003,24.538,0.02,141.47,0.12,205.0827,0.0001,0.0379671,0.52,-1,3,20,100,x,FALSE,9352486,9316295,9159179,599626.1,1267618,2496961,4220965,6297414,1972952,6170156,3476658,7503211,2588371,7581902,762480.2,6854707,1849282,6249207,2726173,7843698
45,,,,,,,2.421,0.001,37.455,0.031,209.16,0.18,489.2337,0.0005,0.0370654,0.41,-1,4,20,100,x,FALSE,6004076,6447919,6649189,330562.9,832681.8,1825087,3240542,6603447,3786042,5785427,4898739,7943777,3758848,6668333,1980259,8951048,2521774,6130033,3116948,8103408
46,d7-PA (15:0-18:1),C36 H61 D7 Na O8 P,(M-H)-,689.4989,2260669-46-1,,0.852,0.009,47.072,0.056,261.23,0.31,688.4891,0.0007,0.036165,1.43,-1,5,10,100,x,FALSE,0.001,0.001,0.001,0.001,805637.1,2035033,4098536,3015955,8199035,0.001,6116010,0.001,1.12E+07,0.001,1.04E+07,0.001,1.36E+07,0.001,1.54E+07,0.001
47,L-gamma-glutamyl-L-isoleucine,C11 H20 N2 O5,(M-H)-,260.1372,,,2.598,0.012,27.981,0.04,159.52,0.23,259.1291,0.0002,0.0361116,0.91,-1,3,16,100,x,FALSE,9487497,3473368,3974280,0.001,0.001,0.001,1539971,1.05E+07,7168551,8842521,6750398,1.56E+07,2549076,5004661,496265.9,9978442,1845471,9434100,478302.3,0.001
48,3-Furoic acid,C5 H4 O3,(M-H)-,112.016,488-93-7,,2.939,0.017,21.98,0.02,132.82,0.13,111.0087,0.0002,0.0360688,1.43,-1,2,12,100,x,FALSE,0.001,0.001,1540442,1.65E+07,1.12E+07,6943291,3631682,0.001,3256043,0.001,2294744,0.001,3143525,0.001,6773148,0.001,5245657,1919165,4013921,0.001
49,,,,,,,3.228,0.144,21.391,0.053,123.45,0.31,195.9057,0.0002,0.0359517,1.95,-1,4,6,93.7,x,FALSE,0.001,0.001,0.001,0.001,0.001,1.21E+07,2253351,0.001,0.001,1.37E+07,0.001,0.001,0.001,0.001,0.001,0.001,2.30E+07,0.001,1.43E+07,7473700
50,Biotin sulfone,C10 H16 N2 O5 S,(M-H)-,276.078,40720-05-6,,1.985,0.002,29.081,0.024,165.4,0.14,275.0701,0.0003,0.0355919,0.45,-1,4,19,100,x,FALSE,5625533,5864431,5648815,0.001,436508.7,1175408,2773006,6224187,4174923,6196747,5101729,8201883,4187790,5981767,1693270,8527229,2511599,6639397,3452052,8228413
51,,,,,,,1.185,0.002,29.159,0.024,165.84,0.14,275.1031,0.0002,0.035261,0.47,-1,3,19,100,x,FALSE,4881217,5126575,5408728,0.001,1344542,2383505,4324171,7228950,2721580,5558418,3622970,7728612,3946274,5050611,929058.3,9794040,1660851,8045626,3351504,8125694
52,,,,,,,3.125,0.015,21.335,0.036,123.94,0.21,176.8953,0.0002,0.0338712,0.36,-1,3,19,93.3,,FALSE,5900113,5260505,5180855,3928900,0.001,3936492,2382529,2455957,5868999,5301240,4598132,4468333,3788759,4457939,4041178,4392683,3744627,3702666,3047241,4678569
53,Diketo-gulonic acid,C6 H8 O7,(M-H)-,192.027,,,2.578,0.029,22.047,0.025,127.49,0.14,191.0195,0.0002,0.0335619,0.43,-1,3,20,94.7,x,FALSE,2320285,2960941,2815750,5171256,3661166,3201587,3520439,3898346,3916329,4354916,4006676,3614560,3567211,2089594,4626763,3217067,4539163,5192150,6375018,2282896
54,Stearic acid,C18 H36 O2,(M-H)-,284.2715,57-11-4,,0.308,0.003,31.201,0.029,177.34,0.17,283.2635,0.0002,0.0333166,0.6,-1,3,17,99.3,,FALSE,2910582,2854310,3250056,3553774,0.001,2804105,3598135,4543047,6093242,4985304,4749624,0.001,6510603,6347032,6259969,0.001,4604679,4328452,5997084,3237870
55,,,,,,,1.052,0.04,18.566,0.042,111.33,0.26,116.9281,0.0004,0.0305237,1.29,-1,3,11,99.8,,FALSE,3991748,0.001,0.001,2366677,0.001,0.001,0.001,0.001,1.11E+07,5644181,6893410,8941421,3893855,0.001,1.28E+07,5094491,0.001,0.001,5949614,4384949
56,,,,,,,1.615,0.004,50.043,0.046,276.76,0.26,853.4799,0.0008,0.0296212,0.47,-1,5,20,100,,FALSE,5446949,5511410,5612801,128107.1,377010.2,940771.4,2116606,4777641,3085473,5328848,4161230,6184981,3032559,6157226,1480208,6435885,1913630,5100846,2509320,6914612
57,Leucyl-leucine,C12 H24 N2 O3,(M-H)-,244.1787,2883-36-5,,1.03,0.006,28.81,0.043,164.83,0.25,243.171,0.0002,0.0286217,0.56,-1,3,19,100,,FALSE,5215613,5259776,4872076,0.001,819346.3,1584630,2673148,6222953,1975236,3406225,3042337,7189541,2548687,5078305,536080.1,8230425,1191352,5928427,1836598,7759445
58,,,,,,,2.484,0.001,32.231,0.029,180.82,0.17,401.1284,0.0004,0.0285536,0.36,-1,3,20,100,x,FALSE,5452317,5520097,5560192,673096,1307647,2430775,3609132,4821554,2007843,4702743,2923450,4807624,2641740,5427552,870631.3,5104137,2013358,4312186,2454795,5502634
59,,,,,,,0.235,0.001,38.471,0.04,216.66,0.23,374.2431,0.0004,0.0282136,0.89,-1,3,13,100,x,FALSE,6902050,6467393,6743654,0.001,804494.7,1580185,2956238,5613455,0.001,8060635,0.001,4070458,0.001,9164552,0.001,9362491,0.001,7119882,0.001,8177222
60,Leukotriene E3,C23 H39 N O5 S,(M-H)-,441.2549,79494-05-6,,1.695,0.002,36.007,0.032,201.61,0.18,440.2497,0.0003,0.0270546,0.41,-1,4,20,100,,FALSE,4345250,4551601,4492139,249102.6,667254.3,1175514,2467255,4325523,2753166,4470190,3873746,6179383,2798632,4684321,1340840,6095033,1862867,4606307,2474290,6342673
61,"N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)maleamic acid",C17 H11 N O5,(M-H)-,309.0637,,,3.153,0.017,32.239,0.028,182.63,0.16,308.0597,0.0002,0.0270144,0.67,-1,3,15,89.9,,FALSE,0.001,4198967,3865711,0.001,0.001,4073974,4190035,3238546,5129369,5443529,3967367,0.001,5080649,4411209,4120986,4066198,4695957,4042801,2519975,0.001
62,Asparaginyl-Threonine,C8 H15 N3 O5,(M-H)-,233.1012,,,2.425,0.003,26.191,0.03,150.06,0.17,232.0935,0.0003,0.0267431,0.35,-1,3,20,100,,FALSE,4859172,4703046,5135227,508368.8,1262691,2006997,3367012,4737364,2560023,4216934,3167669,4481606,2137508,4504282,923595.6,5422873,1577951,4469375,2470726,5415719
63,PG(16:0/16:1(9Z)),C38 H73 O10 P,(M-H)-,720.4941,,,0.388,0.002,48.308,0.055,267.9,0.31,719.483,0.0007,0.0267115,1.48,-1,5,10,100,x,FALSE,0.001,0.001,0.001,0.001,266942.7,750236.6,1741791,2892537,7397627,0.001,6912381,0.001,7760795,0.001,6516570,0.001,9352700,0.001,1.29E+07,0.001
64,,,,,,,3.131,0.013,21.353,0.024,123.34,0.14,192.9116,0.0002,0.0264196,0.73,-1,2,15,93.7,,FALSE,4479653,3336121,3426365,5512420,0.001,0.001,3392239,3926427,4428539,3226734,0.001,3128070,4816651,3458379,3684823,0.001,5584236,4203326,5411113,0.001
65,,,,,,,0.518,0.001,27.281,0.04,156.34,0.23,233.1042,0.0003,0.0263293,0.44,-1,3,20,100,x,FALSE,3443668,3709331,3398551,226283,522184.9,1107774,2080677,3984283,2907265,4652393,3708571,6549388,2989872,5046453,1485050,6466801,1998800,4602135,2544820,6481749
66,,,,,,,2.031,0.002,34.155,0.04,191.22,0.23,435.1867,0.0004,0.0258263,0.3,-1,3,20,100,,FALSE,3815651,4122946,3847954,379570.5,838153.8,1532033,2715650,3958749,2748640,4130329,3539407,4723436,3182896,4260001,1835339,5260552,2317489,4172736,2725177,4883907
67,D-(+)-Malate,C4 H6 O5,(M-H)-,134.0215,636-61-3,116.3,2.906,0.016,19.585,0.014,116.17,0.08,133.0144,0.0002,0.0258262,0.55,-1,3,19,98.4,,FALSE,2520934,1806409,2366800,3743272,3447125,2536530,2644614,2108910,0.001,2515005,3120751,4033459,3047653,1877020,5227152,2067115,3718490,4264669,3347216,2402318
68,,,,,,,2.499,0.003,30.422,0.026,172.04,0.15,317.0982,0.0004,0.0257779,0.34,-1,3,20,100,,FALSE,4032425,4270885,4039861,306232.4,640990.4,1314756,2530729,4136681,2975271,4089240,3656579,5063126,3065192,4469189,1560318,5443111,2057930,4253263,2537776,5235777
69,,,,,,,2.739,0.017,45.115,0.03,248.89,0.17,965.9978,0.0006,0.0255135,0.95,-1,3,12,92,,FALSE,4712991,0.001,0.001,4163966,0.001,4039203,3955126,4092420,0.001,0.001,5921307,0.001,2377953,4718573,6017007,0.001,0.001,6226219,5205362,4905759
70,Isoleucyl-Threonine,C10 H20 N2 O4,(M-H)-,232.1423,,,1.469,0.069,27.15,0.056,155.65,0.32,231.135,0.0001,0.0253724,0.57,-1,3,19,97.1,,FALSE,140306,5310470,5119484,0.001,734268.9,1454079,2674261,5270957,2280829,4256397,3088835,6209179,2295393,5003200,540188.1,6809456,1344794,4863164,2195536,6496593
71,,,,,,,1.206,0.002,33.303,0.035,187.98,0.2,340.187,0.0002,0.0253375,0.55,-1,4,19,100,x,FALSE,2821658,3170601,3223564,0.001,1096749,2043966,3571029,6012792,1461628,3852154,2409295,5829739,2917324,3165576,272509.9,7791088,768427,6120305,2707835,6364378
72,beta-Gentiobiose,C12 H22 O11,(M-H)-,342.1162,554-91-6,180.2,2.484,0.001,32.238,0.045,181.89,0.26,341.1079,0.0003,0.0245128,0.37,-1,3,20,100,,FALSE,4636517,4498090,4803721,542943.8,1105948,2072278,3141187,4278577,1584647,4038642,2527056,4140334,2196868,4849248,824111,4450395,1772905,3646813,2065441,4741025
